area,status,bhk,bathroom,age,location,builder,price
718,Under Construction,2,,0,Pammal,Bharathi Construction,3949000
652,Under Construction,2,,0,Pammal,Bharathi Construction,3586000
1220,Under Construction,3,,0,Pammal,Bharathi Construction,6710000
800,Under Construction,2,,0,Pammal,Bharathi Construction,4400000
890,Under Construction,2,,,Pammal,Bharathi Construction,4005000
850,Under Construction,2,,,Pammal,Bharathi Construction,3825000
1050,Under Construction,2,,0,Pammal,Bharathi Construction,5602000
905,Under Construction,2,,0,Pammal,Bharathi Construction,4684000
1049,Under Construction,2,,0,Pammal,Bharathi Construction,5597000
860,Under Construction,2,,0,Pammal,Bharathi Construction,4463000
875,Under Construction,2,,0,Pammal,Bharathi Construction,4537000
1170,Under Construction,3,,0,Pammal,Bharathi Construction,6214000
5879,Ready to move,5,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services,55000000
5765,Ready to move,5,,3,Kanathur Reddikuppam,Mayances Construction and Engineering Services,55000000
1112,Ready to move,2,,2,Velappanchavadi,Urban Tree Infrastructures,7000000
1414,Ready to move,3,3,2,Velappanchavadi,Urban Tree Infrastructures,8900000
1092,Ready to move,2,,2,Velappanchavadi,Urban Tree Infrastructures,6900000
1358,Ready to move,3,,2,Velappanchavadi,Urban Tree Infrastructures,8500000
1078,Under Construction,2,,0,Mugalivakkam,Karuppaswamy Builders,5929000
1076,Under Construction,2,,0,Mugalivakkam,Karuppaswamy Builders,5918000
1573,Under Construction,3,,0,Mugalivakkam,Karuppaswamy Builders,8651000
1507,Under Construction,3,,0,Mugalivakkam,Karuppaswamy Builders,8288000
1577,Under Construction,3,,0,Mugalivakkam,Karuppaswamy Builders,8673000
1086,Under Construction,2,,0,Mugalivakkam,Karuppaswamy Builders,5973000
1052,Under Construction,2,,0,Mugalivakkam,Karuppaswamy Builders,5786000
1588,Under Construction,3,,0,Mugalivakkam,Karuppaswamy Builders,8734000
1138,Under Construction,2,,0,Mugalivakkam,Karuppaswamy Builders,6259000
1164,Under Construction,2,,0,Mugalivakkam,Karuppaswamy Builders,6402000
1238,Ready to move,3,,3,Kelambakkam,Advaita Homes,4084000
1243,Ready to move,2,,3,Kelambakkam,Advaita Homes,4100000
1241,Ready to move,2,,3,Kelambakkam,Advaita Homes,4094000
1000,Ready to move,2,,3,Kelambakkam,Advaita Homes,3299000
696,Ready to move,1,,3,Kelambakkam,Advaita Homes,2296000
1121,Ready to move,2,,3,Kelambakkam,Advaita Homes,3698000
633,Ready to move,1,,3,Kelambakkam,Advaita Homes,2088000
1251,Ready to move,3,,3,Kelambakkam,Advaita Homes,4127000
1114,Ready to move,2,,3,Kelambakkam,Advaita Homes,3675000
1222,Ready to move,3,2,3,Kelambakkam,Advaita Homes,4031000
1094,Ready to move,2,,3,Kelambakkam,Advaita Homes,3609000
1361,Ready to move,3,3,3,Kelambakkam,Advaita Homes,4489000
997,Ready to move,2,,3,Kelambakkam,Advaita Homes,3289000
986,Ready to move,2,,3,Kelambakkam,Advaita Homes,3252000
916,Ready to move,2,,3,Kelambakkam,Advaita Homes,3021000
811,Ready to move,1,,3,Kelambakkam,Advaita Homes,2675000
1353,Ready to move,3,,3,Kelambakkam,Advaita Homes,4463000
978,Ready to move,2,,3,Kelambakkam,Advaita Homes,3226000
1327,Ready to move,3,,3,Kelambakkam,Advaita Homes,4377000
975,Ready to move,2,,3,Kelambakkam,Advaita Homes,3216000
782,Ready to move,1,,3,Kelambakkam,Advaita Homes,2579000
982,Ready to move,2,,3,Kelambakkam,Advaita Homes,3239000
980,Ready to move,2,,3,Kelambakkam,Advaita Homes,3233000
779,Ready to move,1,,3,Kelambakkam,Advaita Homes,2569000
1043,Ready to move,2,,3,Kelambakkam,Advaita Homes,3440000
1053,Ready to move,2,,3,Kelambakkam,Advaita Homes,3473000
971,Ready to move,2,,3,Kelambakkam,Advaita Homes,3203000
965,Ready to move,2,,3,Kelambakkam,Advaita Homes,3183000
808,Ready to move,1,,3,Kelambakkam,Advaita Homes,2665000
951,Ready to move,2,,3,Kelambakkam,Advaita Homes,3137000
885,Ready to move,2,,3,Kelambakkam,Advaita Homes,2919000
753,Ready to move,1,1,3,Kelambakkam,Advaita Homes,2484000
1280,Ready to move,3,,3,Kelambakkam,Advaita Homes,4222000
1010,Ready to move,2,,3,Kelambakkam,Advaita Homes,3331000
944,Ready to move,2,,3,Kelambakkam,Advaita Homes,3114000
811,Ready to move,2,,3,Kelambakkam,Advaita Homes,2675000
1009,Ready to move,2,,3,Kelambakkam,Advaita Homes,3328000
942,Ready to move,2,,3,Kelambakkam,Advaita Homes,3107000
1124,Ready to move,2,,3,Kelambakkam,Advaita Homes,3708000
948,Ready to move,2,,3,Kelambakkam,Advaita Homes,3127000
1402,Ready to move,3,,3,Kelambakkam,Advaita Homes,4625000
1013,Ready to move,2,,3,Kelambakkam,Advaita Homes,3341000
926,Under Construction,3,,0,Thirumullaivoyal,Swamaan Developers,3565000
1032,Under Construction,3,,0,Thirumullaivoyal,Swamaan Developers,3973000
865,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3330000
949,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3653000
880,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3388000
1042,Under Construction,3,,0,Pammal,Merlin Group,4839000
1074,Under Construction,3,,0,Pammal,Merlin Group,4983000
918,Under Construction,2,,0,Pammal,Merlin Group,4281000
1001,Under Construction,3,,0,Pammal,Merlin Group,4654000
917,Under Construction,2,,0,Pammal,Merlin Group,4267000
1005,Under Construction,3,,0,Pammal,Merlin Group,4672000
927,Under Construction,2,,0,Pammal,Merlin Group,4321000
1011,Under Construction,3,,0,Pammal,Merlin Group,4699000
1065,Under Construction,3,,0,Pammal,Merlin Group,4942000
915,Under Construction,2,,0,Pammal,Merlin Group,4267000
788,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2955000
883,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3311000
883,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3311000
791,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2966000
791,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2966000
779,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2921000
779,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2921000
921,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3453000
921,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3453000
846,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3172000
846,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3172000
804,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3015000
804,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3015000
804,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3015000
801,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3003000
804,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3015000
801,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3003000
808,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3030000
808,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3030000
925,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3468000
925,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3468000
839,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3146000
773,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2898000
839,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3146000
773,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2898000
826,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3097000
826,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3097000
831,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3116000
831,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,3116000
788,Under Construction,2,,0,Thirumullaivoyal,Swamaan Developers,2955000
1450,Under Construction,3,,0,Anna Nagar,India Builders Limited,26500000
1473,Ready to move,3,,1,Poonamallee,Poojaa Foundation,7954000
1002,Ready to move,2,2,1,Poonamallee,Poojaa Foundation,5410000
1418,Ready to move,3,,1,Poonamallee,Poojaa Foundation,7657000
1508,Ready to move,3,,4,Kolapakkam,Poojaa Foundation,9046000
1745,Ready to move,3,,4,Kolapakkam,Poojaa Foundation,10400000
1745,Ready to move,3,,4,Kolapakkam,Poojaa Foundation,10400000
2185,Ready to move,4,,4,Kolapakkam,Poojaa Foundation,13100000
1550,Ready to move,3,,4,Kolapakkam,Poojaa Foundation,9298000
1520,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,9118000
3024,Ready to move,5,,4,Kolapakkam,Poojaa Foundation,18100000
3024,Ready to move,5,,4,Kolapakkam,Poojaa Foundation,18100000
1617,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,9700000
1617,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,9700000
1338,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,8026000
1338,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,8026000
1473,Ready to move,3,,1,Poonamallee,Poojaa Foundation,7954000
1002,Ready to move,2,2,1,Poonamallee,Poojaa Foundation,5410000
1418,Ready to move,3,,1,Poonamallee,Poojaa Foundation,7657000
971,Ready to move,2,,1,Poonamallee,Poojaa Foundation,5243000
1420,Ready to move,3,3,1,Poonamallee,Poojaa Foundation,7668000
998,Ready to move,2,,1,Poonamallee,Poojaa Foundation,5389000
997,Ready to move,2,,1,Poonamallee,Poojaa Foundation,5383000
1634,Ready to move,3,3,1,Poonamallee,Poojaa Foundation,8823000
1520,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,9118000
3024,Ready to move,5,,4,Kolapakkam,Poojaa Foundation,18100000
3024,Ready to move,5,,4,Kolapakkam,Poojaa Foundation,18100000
1617,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,9700000
1617,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,9700000
1338,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,8026000
1338,Ready to move,2,,4,Kolapakkam,Poojaa Foundation,8026000
997,Ready to move,2,,1,Poonamallee,Poojaa Foundation,5383000
1540,Under Construction,3,,0,Anna Nagar,India Builders Limited,26600000
1520,Under Construction,3,,0,Anna Nagar,India Builders Limited,27500000
1525,Under Construction,3,,0,Anna Nagar,India Builders Limited,27500000
1400,Under Construction,3,,0,Kilpauk,India Builders Limited,24200000
1500,Under Construction,3,3,0,Anna Nagar,India Builders Limited,26400000
1450,Under Construction,3,,0,Besant Nagar,India Builders Limited,27600000
1240,Under Construction,2,,0,Anna Nagar,India Builders Limited,22500000
1215,Under Construction,2,,0,Anna Nagar,India Builders Limited,22000000
1375,Ready to move,3,3,,Anna Nagar,India Builders Limited,25000000
2230,Under Construction,4,4,0,Adyar,India Builders Limited,41100000
1520,Under Construction,3,,0,T Nagar,India Builders Limited,29500000
1242,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6310000
6023,Ready to move,4,,5,Sholinganallur,Prestige Estates Projects Ltd,65000000
1166,Ready to move,2,,5,Sholinganallur,Prestige Estates Projects Ltd,13000000
2474,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd,19100000
2277,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd,17600000
1800,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd,13000000
2533,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd,19500000
1938,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd,13900000
2621,Ready to move,4,,6,Iyappanthangal,Prestige Estates Projects Ltd,20200000
1990,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd,14300000
1825,Ready to move,3,,6,Iyappanthangal,Prestige Estates Projects Ltd,13100000
1242,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6310000
604,Under Construction,1,,0,Sholinganallur,Prestige Estates Projects Ltd,3371000
603,Under Construction,1,,0,Sholinganallur,Prestige Estates Projects Ltd,3366000
1250,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6351000
1246,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6330000
605,Under Construction,1,1,0,Sholinganallur,Prestige Estates Projects Ltd,3377000
599,Under Construction,1,1,0,Sholinganallur,Prestige Estates Projects Ltd,3344000
602,Under Construction,1,1,0,Sholinganallur,Prestige Estates Projects Ltd,3360000
1761,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,8875000
1237,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6285000
1869,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,9419000
1468,Under Construction,2,,0,Sholinganallur,Prestige Estates Projects Ltd,7754000
1329,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,7020000
1742,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,8779000
1351,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6864000
1747,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,8804000
1855,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,9349000
1592,Under Construction,3,3,0,Sholinganallur,Prestige Estates Projects Ltd,8023000
1834,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,9243000
1708,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,8608000
1575,Under Construction,3,2,0,Sholinganallur,Prestige Estates Projects Ltd,7938000
1823,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,9187000
1689,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,8512000
1801,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,9077000
1285,Under Construction,2,,0,Sholinganallur,Prestige Estates Projects Ltd,6528000
1259,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6396000
1270,Under Construction,2,2,0,Sholinganallur,Prestige Estates Projects Ltd,6452000
1269,Under Construction,2,,0,Sholinganallur,Prestige Estates Projects Ltd,6447000
1792,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,9031000
1660,Under Construction,3,,0,Sholinganallur,Prestige Estates Projects Ltd,8366000
1047,Ready to move,2,2,4,Vellakkal,seller,4000000
943,Ready to move,2,2,4,Gerugambakkam,seller,4243000
900,Ready to move,2,2,,Avadi,seller,4600000
1600,Under Construction,3,2,,Kolathur,seller,6500000
1415,Ready to move,3,3,,Thiruvanmiyur,seller,13500000
1500,Ready to move,3,2,11,Anna Nagar,seller,22000000
1300,Ready to move,2,,,Madhavaram,seller,4800000
3600,Ready to move,3,3,,Periyar Nagar,seller,37000000
1400,Ready to move,3,2,7,Thoraipakkam OMR,seller,7200000
1100,Under Construction,3,3,,Nanmangalam,seller,7400000
909,Ready to move,2,2,3,Perumbakkam,seller,4500000
893,Ready to move,2,2,,Kolathur,seller,5400000
1270,Ready to move,3,2,13,Thiruvanmiyur,seller,14000000
1218,Under Construction,3,3,,Sembakkam,seller,7200000
919,Ready to move,2,2,,Madipakkam,seller,6500000
756,Ready to move,2,2,,Anakaputhur,seller,2700000
550,Ready to move,1,1,,Urapakkam,seller,5250000
1000,Ready to move,2,2,,Kovur,seller,6300000
1200,Ready to move,2,2,,Medavakkam,seller,5400000
1154,Ready to move,2,2,,Nungambakkam,seller,16300000
540,Ready to move,1,1,,Maduravoyal,seller,2600000
1066,Ready to move,2,2,,Velachery,seller,6000000
1381,Under Construction,3,3,,Adyar,seller,21000000
1735,Ready to move,3,3,7,Guduvancheri,seller,10000000
770,Ready to move,2,2,,Pammal,seller,3050000
827,Ready to move,2,2,,Urapakkam,seller,3600000
1900,Ready to move,3,3,,Kolapakkam,seller,8200000
2500,Ready to move,3,,,Sembakkam,seller,21000000
1050,Ready to move,1,2,9,Koyambedu,seller,5500000
850,Under Construction,2,2,,Korattur,seller,7500000
2280,Ready to move,4,3,5,Iyyappanthangal,seller,16500000
2740,Ready to move,4,2,,Kilpauk,seller,11000000
2640,Ready to move,4,4,,Madhavaram Milk Colony,seller,18200000
2700,Ready to move,4,3,,Kolathur,seller,16000000
1438,Ready to move,3,2,3,Jeth Nagar,seller,22000000
850,Under Construction,2,2,,Mangadu,seller,5300000
850,Under Construction,2,2,,Mangadu,seller,5300000
905,Ready to move,2,2,6,Singaperumal Koil,seller,5000000
1950,Ready to move,4,3,,T Nagar,seller,32500000
900,Ready to move,2,2,,Thirumullaivoyal,seller,3500000
502,Ready to move,1,1,9,Perungalathur,seller,2800000
1071,Ready to move,2,2,1,Madhanandapuram,seller,6900000
1343,Ready to move,3,4,2,Kandigai,seller,6849000
1560,Ready to move,2,2,,Navallur,seller,7700000
612,Ready to move,2,2,3,Veppampattu,seller,3200000
1456,Ready to move,3,3,,Porur,seller,7500000
2590,Ready to move,4,4,,Kundrathur,seller,23000000
600,Under Construction,2,2,,Mangadu,seller,4100000
1176,Under Construction,2,2,,Guduvancheri,seller,4500000
782,Under Construction,1,1,,Saidapet,seller,6021000
1000,Under Construction,2,2,,Medavakkam,seller,4950000
605,Ready to move,1,1,4,Thaiyur,seller,2500000
1045,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd,4178000
1575,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd,6298000
1580,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd,6318000
1055,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd,4218000
1610,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd,6438000
1515,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd,6058000
1055,Under Construction,2,,0,Sholinganallur,BSCPL Infrastructure Ltd,4218000
1520,Under Construction,3,,0,Perumbakkam,BSCPL Infrastructure Ltd,6078000
1515,Under Construction,3,,0,Sholinganallur,BSCPL Infrastructure Ltd,6058000
1375,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd,5498000
1026,Under Construction,2,,0,Sholinganallur,BSCPL Infrastructure Ltd,4102000
1015,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd,4058000
1340,Under Construction,2,,0,Sholinganallur,BSCPL Infrastructure Ltd,5358000
1340,Under Construction,2,,0,Perumbakkam,BSCPL Infrastructure Ltd,5358000
670,Ready to move,2,2,,Oragadam Village Ambattur Talu,seller,4500000
540,Ready to move,1,2,3,Veppampattu,seller,1959000
600,Under Construction,2,4,,Siruseri,seller,2700000
793,Under Construction,2,2,,Pattabiram,seller,3700000
1047,Ready to move,2,2,4,Perungalathur,seller,6500000
3000,Ready to move,6,4,,Madipakkam,seller,16500000
450,Ready to move,1,1,,T Nagar,seller,5960000
825,Ready to move,2,2,,Ambattur,seller,3800000
540,Ready to move,2,1,,Mahabalipuram,seller,1500000
840,Ready to move,2,2,5,Kelambakkam,seller,3500000
850,Ready to move,3,3,,Ayapakkam,seller,3500000
655,Ready to move,2,2,,Chitlapakkam,seller,4000000
1100,Ready to move,2,2,,Guduvancheri,seller,4850000
3408,Ready to move,5,5,,Puzhal,seller,9000000
1400,Ready to move,3,3,3,Washermanpet,seller,10000000
3408,Ready to move,5,5,,Puzhal,seller,9000000
1273,Under Construction,3,3,,Thiruverkadu,seller,6500000
506,Ready to move,2,1,,Mogappair,seller,2900000
736,Ready to move,2,2,4,Pozhichalur,seller,2850000
850,Ready to move,2,2,3,Veppampattu,seller,2600000
950,Under Construction,2,2,,Gerugambakkam,seller,4500000
450,Ready to move,1,1,,Mannur,seller,1500000
820,Under Construction,2,2,,Guduvancheri,seller,4600000
960,Ready to move,2,2,3,Veppampattu,seller,3000000
1253,Ready to move,3,2,,Virugambakkam,seller,9800000
997,Ready to move,2,,,Virugambakkam,seller,8300000
510,Ready to move,1,1,,West Mambalam,seller,3800000
1950,Ready to move,3,3,,Kattupakkam,seller,13500000
1957,Ready to move,3,3,6,Maraimalai Nagar,seller,7200000
1000,Under Construction,2,2,,Kolathur,seller,4000000
2300,Ready to move,4,4,,Chetpet,seller,16000000
1485,Ready to move,3,3,,Perungudi,seller,13700000
1430,Ready to move,3,2,,Sithalapakkam,seller,5900000
900,Ready to move,2,2,,Ramapuram,seller,6500000
900,Ready to move,2,2,,Ramapuram,seller,6500000
2400,Ready to move,5,4,,Virugambakkam,seller,12000000
917,Ready to move,2,2,,Thiruverkadu,seller,4500000
680,Ready to move,2,1,12,Alandur,seller,4000000
950,Under Construction,2,2,,Veppampattu,seller,3000000
600,Under Construction,1,1,,Red Hills,seller,1950000
580,Ready to move,1,1,4,Siruseri,seller,4500000
840,Ready to move,2,2,7,Singaperumal Koil,seller,4500000
1125,Ready to move,3,2,,K K Nagar,seller,14500000
760,Under Construction,2,2,,Kandigai,Pon Mariappan,4070000
940,Ready to move,2,2,5,Iyyappanthangal,HM Homes,4606000
1025,Ready to move,2,2,5,Iyyappanthangal,HM Homes,5022000
890,Ready to move,2,2,5,Iyyappanthangal,HM Homes,4361000
815,Ready to move,2,2,5,Iyyappanthangal,HM Homes,3993000
1030,Ready to move,2,2,5,Iyyappanthangal,HM Homes,5047000
1030,Ready to move,2,2,5,Iyyappanthangal,HM Homes,5047000
862,Ready to move,2,2,5,Iyyappanthangal,HM Homes,4223000
1942,Ready to move,3,3,4,Purasawalkam,INTERFACE PROPERTIES,25000000
825,Ready to move,2,2,3,Ramavaram,HM Homes,4702000
825,Ready to move,2,2,,Ramapuram,HM Homes,4702000
730,Ready to move,2,2,4,Gerugambakkam,R Venkatesan,3700000
1015,Ready to move,2,2,4,Gerugambakkam,R Venkatesan,5599000
1020,Ready to move,2,2,,Kovur,R Venkatesan,5475000
1050,Ready to move,2,2,4,Gerugambakkam,R Venkatesan,3915000
1100,Ready to move,2,3,4,Gerugambakkam,R Venkatesan,5858000
1015,Ready to move,2,2,4,Gerugambakkam,R Venkatesan,5422000
878,Ready to move,2,2,4,Gerugambakkam,R Venkatesan,4419000
790,Ready to move,2,2,4,Gerugambakkam,R Venkatesan,3973000
819,Ready to move,2,2,,Kovur,R Venkatesan,3858000
815,Ready to move,2,2,,Kovur,R Venkatesan,3823000
874,Ready to move,2,3,,Kovur,R Venkatesan,4100000
799,Ready to move,2,2,,Kovur,R Venkatesan,3853000
1010,Under Construction,2,2,,Veppampattu,viswaraj,2400000
5000,Ready to move,4,3,,Shenoy Nagar,INTERFACE PROPERTIES,80000000
1650,Ready to move,3,3,,Besant Nagar,INTERFACE PROPERTIES,26500000
825,Ready to move,2,2,,Ramapuram,HM Homes,4702000
825,Ready to move,2,2,,Ramapuram,HM Homes,4702000
1400,Ready to move,3,3,3,Ramavaram,HM Homes,7980000
1258,Ready to move,2,2,,Sholinganallur,INTERFACE PROPERTIES,5600000
1025,Ready to move,3,3,,Kolapakkam,HM Homes,5022000
4000,Ready to move,4,4,,Saligramam,INTERFACE PROPERTIES,39000000
1025,Ready to move,3,3,,Kolapakkam,HM Homes,5022000
825,Ready to move,2,2,,Kolapakkam,HM Homes,4042000
1000,Ready to move,2,3,,Kovur,Shiva,5400000
974,Ready to move,2,2,,Thiruvanmiyur,S Suresh Kumar,11000000
860,Ready to move,2,2,,Kolapakkam,HM Homes,4214000
1844,Ready to move,3,3,16,Velachery,seller,20000000
1096,Ready to move,3,2,9,Thiruverkadu,seller,5900000
760,Under Construction,2,2,,Kandigai,Pon Mariappan,4170000
750,Under Construction,2,2,,Kandigai,Pon Mariappan,4075000
994,Under Construction,2,2,0,Royapettah,MEHTA REAL ESTATE CHENNAI LLP,16800000
891,Ready to move,2,2,,Thandalam,Shiva,4300000
800,Under Construction,2,2,,Kelambakkam,Balamurugan,4899000
800,Under Construction,2,2,,Kelambakkam,Balamurugan,4900000
2200,Ready to move,4,4,,Valasaravakkam,MEHTA REAL ESTATE CHENNAI LLP,37500000
994,Ready to move,2,2,,Royapettah,MEHTA REAL ESTATE CHENNAI LLP,16800000
918,Ready to move,3,2,,Padur,Alliance Group,4450000
600,Under Construction,2,2,,Semmancheri,Royal Square,2760000
600,Under Construction,2,2,,Semmancheri,Royal Square,2760000
750,Under Construction,2,2,,Ottiyabakkam,Royal Square,3160000
700,Under Construction,2,2,,Semmancheri,Royal Square,3400000
4000,Ready to move,4,3,,T Nagar,INTERFACE PROPERTIES,55000000
1550,Ready to move,3,3,,Anna Nagar,INTERFACE PROPERTIES,19000000
4600,Ready to move,5,4,,Anna Nagar,INTERFACE PROPERTIES,55000000
1340,Under Construction,3,,0,East Tambaram,Proparena,8509000
1002,Under Construction,2,,0,East Tambaram,Proparena,6362000
1001,Under Construction,2,,0,East Tambaram,Proparena,6356000
1073,Under Construction,2,,0,East Tambaram,Proparena,6813000
982,Under Construction,2,,0,East Tambaram,Proparena,6235000
965,Under Construction,2,,0,East Tambaram,Proparena,6127000
1468,Under Construction,3,,0,East Tambaram,Proparena,9321000
1335,Under Construction,3,,0,East Tambaram,Proparena,8477000
1433,Under Construction,3,,0,East Tambaram,Proparena,9099000
1000,Ready to move,2,2,,Nanganallur,seller,5500000
2133,Under Construction,2,2,0,T Nagar,Propsource Realty Private Limited,36200000
620,Ready to move,1,1,3,Pallikaranai,Propsource Realty Private Limited,3500000
4361,Ready to move,4,4,,Muttukadu,seller,35000000
918,Ready to move,3,2,,Padur,Alliance Group,4450000
800,Ready to move,2,2,6,Tharapakkam,Shiva,3850000
1975,Ready to move,3,3,6,Egmore,MEHTA REAL ESTATE CHENNAI LLP,42000000
835,Ready to move,2,,2,Pozhichalur,Sandhya,4008000
838,Ready to move,2,,2,Pozhichalur,Sandhya,4022000
673,Ready to move,2,,2,Pozhichalur,Sandhya,3230000
3700,Under Construction,4,4,,Kilpauk,MEHTA REAL ESTATE CHENNAI LLP,42700000
1500,Under Construction,3,3,,Iyyappanthangal,Shiva,9900000
1000,Ready to move,2,3,,Kovur,Shiva,5500000
790,Ready to move,2,2,4,Gerugambakkam,Shiva,3780000
938,Ready to move,2,2,,Kovur,Shiva,4400000
1040,Under Construction,3,2,0,Siruseri,Alliance Group,3988000
1490,Ready to move,3,3,,Kilpauk,MEHTA REAL ESTATE CHENNAI LLP,18500000
1330,Ready to move,2,3,,Chetpet,MEHTA REAL ESTATE CHENNAI LLP,13000000
2889,Ready to move,3,3,,Anna Nagar East,MEHTA REAL ESTATE CHENNAI LLP,49200000
1318,Ready to move,3,3,,Kattupakkam,MEHTA REAL ESTATE CHENNAI LLP,5800000
1657,Ready to move,3,3,7,Egmore,MEHTA REAL ESTATE CHENNAI LLP,23600000
1550,Ready to move,3,3,,Ayanavaram,MEHTA REAL ESTATE CHENNAI LLP,14700000
1350,Ready to move,3,3,,Anna Nagar East,MEHTA REAL ESTATE CHENNAI LLP,15000000
1150,Ready to move,2,2,,Egmore,MEHTA REAL ESTATE CHENNAI LLP,11500000
1440,Ready to move,3,3,,Royapettah,MEHTA REAL ESTATE CHENNAI LLP,23000000
1310,Ready to move,2,2,,Ayanavaram,MEHTA REAL ESTATE CHENNAI LLP,11000000
1765,Under Construction,3,3,0,Navallur,Propsource Realty Private Limited,12500000
2000,Under Construction,3,3,0,Guindy,Propsource Realty Private Limited,29900000
1900,Under Construction,3,3,0,Perungalathur,Propsource Realty Private Limited,9600000
1541,Under Construction,3,3,0,Pallavaram,Propsource Realty Private Limited,8780000
1400,Under Construction,3,3,0,Pallavaram,Propsource Realty Private Limited,7980000
803,Ready to move,2,,2,Pammal,Murali,4416000
756,Ready to move,1,,2,Pammal,Murali,4158000
582,Ready to move,1,,2,Pammal,Murali,3201000
1737,Ready to move,3,3,7,Kelambakkam,seller,7300000
520,Ready to move,1,2,3,Veppampattu,seller,1849000
